Generation,meanFitness,Phenotype,Optimum
1,1,114.281514,110.282
2,0.959268,114.354711,110.282
3,0.960649,114.216644,110.282
4,0.95884,114.397467,110.282
5,0.959181,114.363414,110.282
6,0.959561,114.325402,110.282
7,0.959332,114.348361,110.282
8,0.959702,114.311263,110.282
9,0.959686,114.312870,110.282
10,0.960298,114.251636,110.282
11,0.960152,114.266341,110.282
12,0.960543,114.227161,110.282
13,0.961495,114.132012,110.282
14,0.962077,114.073802,110.282
15,0.961997,114.081741,110.282
16,0.962106,114.070827,110.282
17,0.962675,114.014041,110.282
18,0.961945,114.086928,110.282
19,0.961677,114.113784,110.282
20,0.961035,114.178038,110.282
21,0.962432,114.038322,110.282
22,0.962829,113.998571,110.282
23,0.961966,114.084898,110.282
24,0.96224,114.057492,110.282
25,0.959079,114.189368,118.282
26,0.959834,114.264889,118.282
27,0.956173,113.898862,118.282
28,0.957516,114.033077,118.282
29,0.957614,114.042922,118.282
30,0.963404,114.621916,118.282
31,0.95624,113.905520,118.282
32,0.963876,114.669133,118.282
33,0.961839,114.465422,118.282
34,0.956969,113.978421,118.282
35,0.959402,114.221734,118.282
36,0.962198,114.501341,118.282
37,0.960753,114.356829,118.282
38,0.955154,113.796868,118.282
39,0.960325,114.313977,118.282
40,0.962795,114.561024,118.282
41,0.956176,113.899125,118.282
42,0.967397,115.021166,118.282
43,0.962039,114.485440,118.282
44,0.967059,114.988734,118.282
45,0.962084,114.489957,118.282
46,0.968898,115.171366,118.282
47,0.964949,114.776607,118.282
48,0.964173,114.698782,118.282
49,0.963689,114.650390,118.282
50,0.958368,114.444719,110.282
51,0.954584,114.823155,110.282
52,0.95556,114.725524,110.282
53,0.95579,114.702508,110.282
54,0.954315,114.849999,110.282
55,0.956925,114.589000,110.282
56,0.954894,114.792094,110.282
57,0.95746,114.535503,110.282
58,0.956449,114.636617,110.282
59,0.957313,114.550185,110.282
60,0.956655,114.615991,110.282
61,0.957019,114.579629,110.282
62,0.955577,114.723798,110.282
63,0.956977,114.583794,110.282
64,0.957737,114.507775,110.282
