Generation,meanFitness,Phenotype,Optimum
1,0.966388,109.574843,111.241
2,0.942181,109.599461,111.965
3,0.916189,109.634944,112.587
4,0.894363,109.701425,113.078
5,0.883664,109.844976,113.418
6,0.86304,109.670332,113.592
7,0.882378,109.992695,113.591
8,0.893976,110.026697,113.417
9,0.920321,110.201810,113.076
10,0.940216,110.161821,112.584
11,0.959463,110.065008,111.961
12,0.982166,110.239954,111.236
13,0.990736,110.260931,110.441
14,0.986877,110.305749,109.608
15,0.976332,110.079124,108.777
16,0.94663,110.257941,107.981
17,0.921153,110.129383,107.257
18,0.884422,110.217922,106.637
19,0.864452,110.067020,106.146
20,0.840526,110.111305,105.807
21,0.813849,110.345723,105.635
22,0.833732,110.043820,105.636
23,0.834354,110.213573,105.812
24,0.862652,110.104878,106.154
25,0.882545,110.262521,106.647
26,0.932608,109.884644,107.27
27,0.954546,110.053885,107.995
28,0.977844,110.024743,108.791
29,0.990225,109.933687,109.624
30,0.989523,110.050357,110.455
31,0.97953,110.114659,111.25
32,0.958845,110.058783,111.974
33,0.934655,110.040358,112.594
34,0.9227,110.259098,113.084
35,0.895638,110.061559,113.421
36,0.897861,110.271408,113.593
37,0.889516,110.117519,113.59
38,0.901149,110.155788,113.414
39,0.926944,110.338253,113.071
40,0.948693,110.369539,112.577
41,0.96808,110.338793,111.953
42,0.98646,110.511591,111.227
43,0.990987,110.536993,110.431
44,0.985379,110.410686,109.598
45,0.969921,110.330876,108.767
46,0.937986,110.468331,107.972
47,0.90867,110.380417,107.249
48,0.869814,110.468420,106.63
49,0.847064,110.348339,106.141
50,0.827145,110.317029,105.804
51,0.816394,110.306609,105.634
52,0.818196,110.283324,105.637
53,0.833532,110.229865,105.815
54,0.852588,110.276882,106.159
55,0.886857,110.191347,106.654
56,0.91711,110.235986,107.278
57,0.954041,110.077548,108.004
58,0.975197,110.154869,108.801
59,0.988363,110.194377,109.634
60,0.990099,110.147660,110.465
61,0.982779,110.297980,111.26
62,0.959931,110.099727,111.982
63,0.946291,110.330289,112.601
64,0.920195,110.211912,113.089
65,0.904969,110.238701,113.425
66,0.898169,110.278173,113.594
67,0.900565,110.317844,113.589
68,0.91399,110.402066,113.411
69,0.926682,110.327569,113.066
70,0.941829,110.188274,112.57
71,0.966627,110.279958,111.945
72,0.983298,110.287460,111.218
73,0.990922,110.307690,110.421
