Generation,Phenotype,Optimum, MeanFitness_value
188,4.778625,7.24378,0.985488
189,4.760102,7.24378,0.985529
190,4.797948,7.24378,0.985691
191,4.773821,7.24378,0.985547
192,4.861463,7.24378,0.985889
193,4.784994,7.24378,0.98557
194,4.806152,7.24378,0.985783
195,4.838625,7.24378,0.985796
196,4.823090,7.24378,0.98576
197,4.871506,7.24378,0.98597
198,4.931825,7.24378,0.986199
199,4.897333,7.24378,0.986205
200,4.963138,7.24378,0.986241
201,4.981759,7.24378,0.986415
202,5.022566,7.24378,0.986605
203,5.018104,7.24378,0.986605
204,5.000978,7.24378,0.986605
205,5.029393,7.24378,0.986613
206,5.037148,7.24378,0.98657
207,5.034115,7.24378,0.986588
208,5.074206,7.24378,0.986788
209,5.100398,7.24378,0.986994
210,5.138144,7.24378,0.987016
211,5.074551,7.24378,0.986912
212,5.084048,7.24378,0.98692
213,5.089698,7.24378,0.98693
214,5.079671,7.24378,0.986861
215,5.141765,7.24378,0.987058
216,5.142158,7.24378,0.987159
217,5.186568,7.24378,0.987227
218,5.127715,7.24378,0.987032
219,5.135842,7.24378,0.987069
220,5.180234,7.24378,0.987305
221,5.165382,7.24378,0.987197
222,5.201184,7.24378,0.987304
223,5.216172,7.24378,0.98738
224,5.225055,7.24378,0.987441
225,5.228229,7.24378,0.987463
226,5.164490,7.24378,0.987306
227,5.238331,7.24378,0.987501
228,5.226106,7.24378,0.987463
229,5.261608,7.24378,0.98756
230,5.251346,7.24378,0.987599
231,5.275901,7.24378,0.987547
232,5.269920,7.24378,0.987764
233,5.293661,7.24378,0.987753
234,5.224513,7.24378,0.987511
235,5.222264,7.24378,0.987516
236,5.274148,7.24378,0.987638
237,5.302532,7.24378,0.987758
238,5.345248,7.24378,0.987897
239,5.355808,7.24378,0.987976
240,5.322966,7.24378,0.987776
241,5.370035,7.24378,0.988029
242,5.371073,7.24378,0.988015
243,5.385727,7.24378,0.988066
244,5.396192,7.24378,0.98809
245,5.442260,7.24378,0.988236
246,5.378302,7.24378,0.988176
247,5.444218,7.24378,0.988325
248,5.466223,7.24378,0.988409
249,5.489278,7.24378,0.988578
250,5.502696,7.24378,0.988623
251,5.528099,7.24378,0.988735
252,5.517536,7.24378,0.988688
253,5.529109,7.24378,0.98874
254,5.538725,7.24378,0.98881
255,5.504874,7.24378,0.988585
256,5.565181,7.24378,0.988747
257,5.590028,7.24378,0.988922
258,5.520709,7.24378,0.988706
259,5.549979,7.24378,0.988803
260,5.551108,7.24378,0.988741
261,5.544301,7.24378,0.988756
262,5.608378,7.24378,0.988965
263,5.628008,7.24378,0.989043
264,5.580593,7.24378,0.988914
265,5.578641,7.24378,0.988857
266,5.593195,7.24378,0.988954
267,5.572877,7.24378,0.988859
268,5.638972,7.24378,0.989051
269,5.627224,7.24378,0.989055
270,5.629342,7.24378,0.989034
271,5.642986,7.24378,0.98915
272,5.629204,7.24378,0.989055
273,5.588557,7.24378,0.988974
274,5.648615,7.24378,0.989172
275,5.661315,7.24378,0.989226
276,5.654094,7.24378,0.989162
277,5.640417,7.24378,0.989165
278,5.671923,7.24378,0.98929
279,5.631172,7.24378,0.989168
280,5.647776,7.24378,0.98915
281,5.666239,7.24378,0.989366
282,5.741108,7.24378,0.989402
283,5.703427,7.24378,0.989406
284,5.722865,7.24378,0.989307
285,5.750563,7.24378,0.989533
286,5.710138,7.24378,0.989355
287,5.747757,7.24378,0.989535
288,5.682890,7.24378,0.989427
289,5.746915,7.24378,0.989626
290,5.797710,7.24378,0.989716
291,5.773916,7.24378,0.989664
292,5.716288,7.24378,0.989413
293,5.738910,7.24378,0.989513
294,5.766323,7.24378,0.989525
295,5.746263,7.24378,0.9896
296,5.753024,7.24378,0.989531
297,5.720318,7.24378,0.98949
298,5.764087,7.24378,0.989633
299,5.747930,7.24378,0.989614
300,5.771878,7.24378,0.98956
301,5.789181,7.24378,0.989753
302,5.791201,7.24378,0.989764
303,5.800612,7.24378,0.989768
304,5.793773,7.24378,0.989862
305,5.796473,7.24378,0.989734
306,5.830470,7.24378,0.989821
307,5.795558,7.24378,0.989801
308,5.809392,7.24378,0.98984
309,5.820652,7.24378,0.989757
310,5.795917,7.24378,0.989828
311,5.804475,7.24378,0.989846
312,5.800048,7.24378,0.989768
