Generation,Position,Frequency,Effect,Heterozygosity,origin
128,500000,0.703000,3.048570,4.17582e-07,1
129,500000,0.699850,3.048570,4.2012e-07,1
130,500000,0.702850,3.048570,4.17703e-07,1
131,500000,0.702650,3.048570,4.17866e-07,1
132,500000,0.706200,3.048570,4.14963e-07,1
133,500000,0.704350,3.048570,4.16482e-07,1
134,500000,0.707550,3.048570,4.13846e-07,1
135,500000,0.711600,3.048570,4.1045e-07,1
136,500000,0.715300,3.048570,4.07291e-07,1
137,500000,0.719400,3.048570,4.03727e-07,1
138,500000,0.717350,3.048570,4.05518e-07,1
139,500000,0.720500,3.048570,4.02759e-07,1
140,500000,0.720700,3.048570,4.02583e-07,1
141,500000,0.723950,3.048570,3.99692e-07,1
142,500000,0.728750,3.048570,3.95346e-07,1
143,500000,0.727050,3.048570,3.96896e-07,1
144,500000,0.736250,3.048570,3.88371e-07,1
145,500000,0.739800,3.048570,3.84992e-07,1
146,500000,0.743000,3.048570,3.81902e-07,1
147,500000,0.746450,3.048570,3.78524e-07,1
148,500000,0.751650,3.048570,3.73344e-07,1
149,500000,0.752750,3.048570,3.72235e-07,1
150,500000,0.752550,3.048570,3.72437e-07,1
151,500000,0.751900,3.048570,3.73092e-07,1
152,500000,0.753250,3.048570,3.71729e-07,1
153,500000,0.753150,3.048570,3.7183e-07,1
154,500000,0.756400,3.048570,3.68518e-07,1
155,500000,0.760500,3.048570,3.64279e-07,1
156,500000,0.764650,3.048570,3.5992e-07,1
157,500000,0.763450,3.048570,3.61188e-07,1
158,500000,0.764950,3.048570,3.59603e-07,1
159,500000,0.766750,3.048570,3.57689e-07,1
160,500000,0.771350,3.048570,3.52738e-07,1
161,500000,0.772350,3.048570,3.51651e-07,1
162,500000,0.769000,3.048570,3.55278e-07,1
163,500000,0.776250,3.048570,3.47372e-07,1
164,500000,0.777600,3.048570,3.45876e-07,1
165,500000,0.783650,3.048570,3.39085e-07,1
166,500000,0.786100,3.048570,3.36293e-07,1
167,500000,0.786950,3.048570,3.35319e-07,1
168,500000,0.790450,3.048570,3.31277e-07,1
169,500000,0.789700,3.048570,3.32147e-07,1
170,500000,0.792000,3.048570,3.29472e-07,1
171,500000,0.792850,3.048570,3.28477e-07,1
172,500000,0.794200,3.048570,3.26892e-07,1
173,500000,0.798900,3.048570,3.21317e-07,1
174,500000,0.802450,3.048570,3.17048e-07,1
175,500000,0.809950,3.048570,3.07862e-07,1
176,500000,0.810700,3.048570,3.06931e-07,1
177,500000,0.806550,3.048570,3.12054e-07,1
178,500000,0.808800,3.048570,3.09285e-07,1
179,500000,0.811350,3.048570,3.06122e-07,1
180,500000,0.811650,3.048570,3.05748e-07,1
181,500000,0.810450,3.048570,3.07241e-07,1
182,500000,0.815000,3.048570,3.0155e-07,1
183,500000,0.818850,3.048570,2.96669e-07,1
184,500000,0.818650,3.048570,2.96924e-07,1
185,500000,0.819350,3.048570,2.96031e-07,1
186,500000,0.818750,3.048570,2.96797e-07,1
187,500000,0.816450,3.048570,2.99718e-07,1
188,500000,0.821300,3.048570,2.93532e-07,1
189,500000,0.826750,3.048570,2.86469e-07,1
190,500000,0.825750,3.048570,2.87774e-07,1
191,500000,0.831300,3.048570,2.8048e-07,1
192,500000,0.831150,3.048570,2.80679e-07,1
193,500000,0.830750,3.048570,2.81209e-07,1
194,500000,0.833550,3.048570,2.77489e-07,1
195,500000,0.839550,3.048570,2.69411e-07,1
196,500000,0.848950,3.048570,2.56468e-07,1
197,500000,0.854350,3.048570,2.48872e-07,1
198,500000,0.856000,3.048570,2.46528e-07,1
199,500000,0.856450,3.048570,2.45887e-07,1
200,500000,0.857150,3.048570,2.44888e-07,1
201,500000,0.859650,3.048570,2.41304e-07,1
202,500000,0.863500,3.048570,2.35735e-07,1
